"Item Code","ItemStatus","Description","Size","Age","Proof","Bottles Per Case","Unit Price","Effective Date"
"4074B","$","KRAKEN RUM W/COLOR CHANGING GLASS","750 ML",,94,6,20.95,04/01/2019
"4075B","@","RANSOM RYE, BARLEY, WHEAT WHISKEY","750 ML",,93,12,53.15,04/01/2019
"4076B",,"AUCHROISK 25 YR","750 ML",,102,6,459.95,04/01/2019
"4079B",,"GLENKINCHIE 24 YR","750 ML","24 YRS",114,6,459.95,04/01/2019
"4080B",,"WHOOP & HOLLER","750 ML","28 YRS",84,6,179.95,04/01/2019
"4081B",,"PORT ELLEN 37 YR","750 ML","37 YRS",110,6,"4,049.95",04/01/2019
"4082B",,"OUTERSPACE VODKA","750 ML",,80,6,32.95,04/01/2019
"4082F",,"OUTERSPACE VODKA","50 ML",,80,60,6.00,04/01/2019
"4083B",,"DSP-CA-162 TANGERINE VODKA","750 ML",,80,6,15.00,04/01/2019
"4084B",,"DSP-CA-162 LIME VODKA","750 ML",,80,6,15.00,04/01/2019
"4085B",,"DSP-CA-162 CITRON VODKA","750 ML",,80,6,5.00,04/01/2019
"4086B",,"EL DORADO 25 YR","750 ML","25 YRS",80,6,360.00,04/01/2019
"4087B",,"NIKKA COFFEY MALT","750 ML",,90,6,74.95,04/01/2019
"4091B",,"DICTADOR ORTODOXY","750 ML",,86,12,3.00,04/01/2019
"4092B",,"DICTADOR TREASURE","750 ML",,86,12,15.00,04/01/2019
"4093B",,"NIKKA MIYAGIKYO SINGLE MALT (NAS)","750 ML",,90,6,79.95,04/01/2019
"4094B",,"NIKKA YIOCHI SINGLE MALT WHISKEY (NAS)","750 ML",,90,6,79.95,04/01/2019
"4095B",,"BRORA 38 YR","750 ML","38 YRS",97,6,"2,229.95",04/01/2019
"4096B",,"LINKWOOD 37 YR","750 ML","37 YRS",101,6,949.95,04/01/2019
"4097B","@","SWALLOWTAIL GIN","750 ML",,90,12,29.95,04/01/2019
"4097E","@","SWALLOWTAIL GIN","375 ML",,90,12,18.00,04/01/2019
"4098B","@","SWALLOWTAIL NAVY STRENGTH GIN","750 ML",,114,12,34.95,04/01/2019
"4098E","@","SWALLOWTAIL NAVY STRENGTH GIN","375 ML",,114,12,18.00,04/01/2019
"4099B","@","TRILLIUM GIN","750 ML",,90,12,29.95,04/01/2019
"4100B","@","FIRST CITY VODKA","750 ML",,90,12,29.95,04/01/2019
"4102B",,"ARDBEG 21 YR","750 ML",,92,6,500.00,04/01/2019
"4103B",,"OLD FORESTER 1920 CRAFT","750 ML",,115,6,59.95,04/01/2019
"4104B",,"BROWN JUG SPIKED APPLE LIQUEUR","750 ML",,30,6,3.00,04/01/2019
"4105B",,"HAVANA CLUB BLANCO","750 ML",,80,12,19.95,04/01/2019
"4106B",,"HAVANA CLUB CLASICO","750 ML",,80,12,21.95,04/01/2019
"4107B",,"WAHAKA MEZCAL VDM 2016 CHIHUAHUA SOTOL","750 ML",,96,1,279.65,04/01/2019
"4108B",,"WAHAKA MEZCAL VDM 2016 GUERRERO PAPALOTE","750 ML",,102,1,243.65,04/01/2019
"4109B",,"WAHAKA MEZCAL VDM 2016 GUERRERO CUPREATA BOR","750 ML",,96,1,279.65,04/01/2019
"4111B",,"WAHAKA MEZCAL VDM 2016 OAXACA ENSAMBLE ARROQ","750 ML",,94,1,243.65,04/01/2019
"4112B",,"WAHAKA MEZCAL VDM 2016 OAXACA ESPADIN","750 ML",,102,1,279.65,04/01/2019
"4114B",,"LORD CALVERT CANADIAN DOG DECANTER","750 ML",,80,4,20.00,04/01/2019
"4116B",,"THE EXCEPTIONAL BLEND","750 ML",,86,6,10.00,04/01/2019
"4117B",,"THE EXCEPTIONAL GRAIN","750 ML",,86,6,10.00,04/01/2019
"4119B",,"SINO SILVER TEQUILA","750 ML",,80,6,19.95,04/01/2019
"4120B",,"SINO REPOSADO TEQUILA","750 ML",,80,6,3.00,04/01/2019
"4122B",,"FOURSQUARE RUM DISTILLERY - ZINFANDEL CASK BLEND","750 ML",,86,6,57.95,04/01/2019
"4123B",,"FOURSQUARE RUM DISTILLERY - PORT CASK FINISH","750 ML",,80,6,52.95,04/01/2019
"4124B",,"FOURSQUARE RUM DISTILLERY - 2004 SINGLE BLEND","750 ML",,118,6,35.00,04/01/2019
"4127B",,"GLEN MORAY CLASSIC CASK FINISH","750 ML","10 YRS",80,6,15.00,04/01/2019
"4128E","@","SINISTER GRAPPA","375 ML",,80,12,26.95,04/01/2019
"4129B","@","BULL RUN OREGON S/M WHISKEY","750 ML",,88,12,49.95,04/01/2019
"4129E","@","BULL RUN OREGON S/M WHISKEY","375 ML",,88,12,24.95,04/01/2019
"4129F",,"BULL RUN OREGON S/M WHISKEY","50 ML",,88,90,5.00,04/01/2019
"4130B","@","BULL RUN OREGON S/M CASK STRENGTH","750 ML",,112,12,74.95,04/01/2019
"4131B",,"KERRYGOLD IRISH CREAM LIQUEUR","750 ML",,34,6,19.95,04/01/2019
"4133B",,"TOWNSHEND'S GIN","750 ML",,80,12,24.95,04/01/2019
"4133D","@","TOWNSHEND'S GIN","200 ML",,80,12,10.95,04/01/2019
"4133F","@","TOWNSHEND'S GIN","50 ML",,80,24,3.00,04/01/2019
"4133H","@","TOWNSHEND'S GIN","1.75 L",,80,6,44.95,04/01/2019
"4134B",,"DEMIDOFF VODKA","750 ML",,80,6,3.00,04/01/2019
"4146B",,"BROKEN TOP BOURBON WHISKEY","750 ML",,88,12,31.95,04/01/2019
"4147B",,"WILD ROOTS CHERRY VODKA","750 ML",,70,12,24.95,04/01/2019
"4148B",,"WILD ROOTS CRANBERRY","750 ML",,70,12,24.95,04/01/2019
"4149B",,"ABSOLUT LIME","750 ML",,80,12,24.95,04/01/2019
"4149H","@","ABSOLUT LIME","1.75 L",,80,6,44.95,04/01/2019
"4150B",,"CHIVAS REGAL EXTRA","750 ML",,80,6,29.95,04/01/2019
"4151B",,"KAHLUA CHILI CHOCOLATE","750 ML",,40,12,3.00,04/01/2019
"4152B",,"ROLLING RIVER AQUAVIT WILD BOAR","750 ML",,84,12,65.00,04/01/2019
"4153B",,"ROLLING RIVER AQUA. BRN BEAR","750 ML",,84,12,32.00,04/01/2019
"4154B",,"ROLLING RIVER AQUA. OLD GOAT","750 ML",,84,12,27.00,04/01/2019
"4155B","@","CASCADIAN MOON","750 ML",,80,12,31.00,04/01/2019
"4159B",,"TOSOLINI MOST MOSCATO","750 ML",,80,6,5.00,04/01/2019
"4160B",,"TOSOLINI MOST BARRIQUE","750 ML","3 YRS",80,6,5.00,04/01/2019
"4161B",,"SANTIAGO QUEIROLO ACHOLADO PISCO","750 ML",,84,12,23.95,04/01/2019
"4165B","@","FIR OF THE DOUG","750 ML",,80,12,33.00,04/01/2019
"4166B","@","IWAI TRADITION WHISKY","750 ML",,80,12,59.95,04/01/2019
"4167B","@","IWAI WHISKY","750 ML",,80,12,38.95,04/01/2019
"4169B",,"AKASHI WHISKY EIGASHIMA","750 ML",,80,6,49.95,04/01/2019
"4170B",,"COKANA COCA LEAF VODKA","750 ML",,80,12,5.00,04/01/2019
"4171B","@","MUTINEER SPICED RUM","750 ML",,84,12,34.95,04/01/2019
"4172B",,"TULLAMORE DEW CROCK","750 ML",,80,6,30.95,04/01/2019
"4173E","@","HOUSE SPIRITS CREME DE CACAO","375 ML",,50,12,24.95,04/01/2019
"4174B",,"SINISTER HOWARD JACOB S/M WHISKEY","750 ML",,80,12,39.95,04/01/2019
"4175B",,"BROWN SUGAR BOURBON 103","750 ML",,103,6,39.95,04/01/2019
"4176B","@","COLD TREE GIN","750 ML",,80,12,29.95,04/01/2019
"4177B","@","FERNET DEI FRATELLI LORETO","750 ML",,80,12,34.95,04/01/2019
"4181B",,"BAYOU SILVER RUM 80 PF","750 ML",,80,12,3.00,04/01/2019
"4185B","@","BIG GIN PEAT BARRELED","750 ML",,94,6,34.95,04/01/2019
"4188B",,"SANTIAGO QUEIROLO QUEBRANTA PISCO","750 ML",,84,12,15.00,04/01/2019
"4189B","@","MEDOYEFF TRUFFLE VODKA","750 ML",,86,12,29.95,04/01/2019
"4190B",,"CARL ETHAN AKELEY GIN","750 ML",,80,6,39.75,04/01/2019
"4193B","@","CASCADE ALCHEMY COFFEE LIQUEUR","750 ML",,40,12,27.95,04/01/2019
"4197B",,"COMPASS BOX THE SPICE TREE EXTRAVAGANZA","750 ML",,92,6,129.75,04/01/2019
"4198B",,"SPRINGBANK 19 YR FRESH PORT CASK","750 ML","19 YRS",105,6,185.00,04/01/2019
"4199B",,"SPRINGBANK 19 YR FRESH RUM CASK","750 ML","19 YRS",106,6,189.00,04/01/2019
"4200B",,"SPRINGBANK 21 YR SHERRY CASK","750 ML","21 YRS",100,6,319.00,04/01/2019
"4201B",,"SPRINGBANK 19 YR RECHAR SHERRY","750 ML","19 YRS",111,6,185.00,04/01/2019
"4202B",,"COMPASS BOX THREE YR OLD DELUXE","750 ML","3 YRS",98,6,320.90,04/01/2019
"4205B",,"BAILEYS ALMANDE","750 ML",,26,12,24.95,04/01/2019
"4205F",,"BAILEYS ALMANDE","50 ML",,26,120,2.75,04/01/2019
"4210B",,"SKYY INFUSIONS-CALIF. APRICOT","750 ML",,70,12,3.00,04/01/2019
"4211D",,"TWISTED SHOTZ MOSCOW MULE KICK","200 ML",,40,18,2.00,04/01/2019
"4213B",,"BRANDY PEAK AGED PINOT NOIR","750 ML",,85,12,49.00,04/01/2019
"4214B","@","BARRELMAN RUM","750 ML",,80,12,45.00,04/01/2019
"4215B","@","HOLEN AQUAVIT","750 ML",,80,12,35.00,04/01/2019
"4216B","@","DIABLO AZUL AGAVE SPIRIT","750 ML",,80,12,50.00,04/01/2019
"4217H",,"JOSE CUERVO RASPBERRY MARGARITA","1.75 L",,20,6,17.95,04/01/2019
"4218B",,"BUSHMILLS RED BUSH","750 ML",,80,12,28.95,04/01/2019
"4218F",,"BUSHMILLS RED BUSH","50 ML",,80,120,2.00,04/01/2019
"4219B",,"BRUICHLADDICH OCTOMORE 7.1 SCOTTISH BARLEY","750 ML",,119,6,164.95,04/01/2019
"4220B",,"BRUICHLADDICH OCTOMORE 7.3 ISLAY BARLEY","750 ML",,126,6,172.95,04/01/2019
"4221B","@","DROP SHOP LIMECELLO","750 ML",,70,12,28.00,04/01/2019
"4221E","@","DROP SHOP LIMECELLO","375 ML",,70,12,18.00,04/01/2019
"4222B","@","DROP SHOP ORANGECELLO","750 ML",,70,12,28.00,04/01/2019
"4222E","@","DROP SHOP ORANGECELLO","375 ML",,70,12,18.00,04/01/2019
"4223B","@","DROP SHOP LIMONCELLO","750 ML",,70,12,28.00,04/01/2019
"4223E","@","DROP SHOP LIMONCELLO","375 ML",,70,12,18.00,04/01/2019
"4228B",,"MARCA NEGRA ESPADIN","750 ML",,113,6,69.90,04/01/2019
"4229B",,"MARCA NEGRA ENSAMBLE","750 ML",,94,6,20.00,04/01/2019
"4230B",,"E & J  VANILLA BRANDY","750 ML",,60,12,3.00,04/01/2019
"4230F",,"E & J  VANILLA BRANDY","50 ML",,60,120,1.50,04/01/2019
"4231B",,"CAPTAIN MORGAN LOCONUT","750 ML",,40,6,19.95,04/01/2019
"4231F",,"CAPTAIN MORGAN LOCONUT","50 ML",,40,120,1.75,04/01/2019
"4232B",,"JOHNNIE WALKER BLUE YR ROOSTER","750 ML",,92,3,269.95,04/01/2019
"4234B",,"GLENMORANGIE BACALTA","750 ML",,92,6,99.95,04/01/2019
"4235B",,"ARDBEG KELPIE COMMITTEE RELEASE","750 ML",,103,6,60.00,04/01/2019
"4236B",,"JOHNNIE WALKER BLENDER'S BATCH","750 ML","10 YRS",92,12,29.95,04/01/2019
"4237B","@","HDC STATE VODKA","750 ML",,80,12,7.95,04/01/2019
"4237H",,"HDC STATE VODKA","1.75 L",,80,6,14.95,04/01/2019
"4238B",,"MIDNIGHT MOON AMERICAN WHISKEY","750 ML",,90,6,19.95,04/01/2019
"4243B",,"POLUGAR RYE VODKA","750 ML",,77,12,40.00,04/01/2019
"4252B",,"TERRALTA TEQUILA BLANCO","750 ML",,80,6,10.00,04/01/2019
"4253B",,"TERRALTA TEQUILA BLANCO 110 PROOF","750 ML",,110,6,3.00,04/01/2019
"4254B",,"TERRALTA TEQUILA ANEJO","750 ML",,80,6,10.00,04/01/2019
"4255B",,"TERRALTA TEQUILA EXTRA ANEJO","750 ML",,80,6,10.00,04/01/2019
"4256B",,"TERRALTA TEQUILA EXTRA ANEJO 110 PROOF","750 ML",,110,6,10.00,04/01/2019
"4257B",,"TERRALTA TEQUILA REPOSADO","750 ML",,80,6,5.00,04/01/2019
"4259B",,"TULLAMORE DEW 15YR IRISH WHISKEY","750 ML",,80,6,79.95,04/01/2019
"4260B",,"KINKY RED LIQUEUR","750 ML",,34,6,19.95,04/01/2019
"4261B",,"KILKERRAN 12 YR SINGLE MALT SCOTCH WHISKY","750 ML","12 YRS",92,6,45.00,04/01/2019
"4262B",,"DEEP EDDY ORANGE","750 ML",,70,12,17.95,04/01/2019
"4262F",,"DEEP EDDY ORANGE","50 ML",,70,72,1.50,04/01/2019
"4265B","@","THE WALTER COLLECTIVE VODKA","750 ML",,90,12,26.95,04/01/2019
"4265F",,"THE WALTER COLLECTIVE VODKA","50 ML",,90,50,3.00,04/01/2019
"4269B",,"OREGON SPIRIT BOURBON","750 ML",,94,6,45.00,04/01/2019
"4270B","@","OREGON SPIRIT STRAIGHT WHEAT","750 ML",,90,6,45.00,04/01/2019
"4271B","@","OREGON SPIRIT BOURBON BIB","750 ML",,100,6,75.00,04/01/2019
"4272B","@","OREGON SPIRIT WHEAT BIB","750 ML",,100,6,75.00,04/01/2019
"4273B",,"BULLEIT BOURBON BARREL STRENGTH","750 ML",,120,6,49.95,04/01/2019
"4274B",,"CROWN ROYAL NOBLE COLLECTION","750 ML",,81,6,59.95,04/01/2019
"4275E","@","TATOOSH ESPRESSO","375 ML",,43,12,19.95,04/01/2019
"4277B","@","EZRA BROOKS RYE","750 ML",,90,12,17.95,04/01/2019
"4278B",,"BAYOU SATSUMA RUM LIQUEUR 60 PF","750 ML",,60,12,20.95,04/01/2019
"4281B",,"JEFFERSON'S RESERVE PRITCHARD HILL CABERNET CASK","750 ML",,90,6,77.95,04/01/2019
"4282B","@","GLACIER45 BOURBON WHISKEY","750 ML",,117,6,39.95,04/01/2019
"4282F",,"GLACIER45 BOURBON WHISKEY","50 ML",,117,24,2.75,04/01/2019
"4283F",,"GLACIER45 HOT CINNAMON VODKA","50 ML",,70,24,2.50,04/01/2019
"4284B","@","GLACIER45 CUCUMBER VODKA","750 ML",,70,6,24.95,04/01/2019
"4284F",,"GLACIER45 CUCUMBER VODKA","50 ML",,70,24,2.50,04/01/2019
"4285B",,"THREE OLIVES CUCUMBER LIME","750 ML",,70,12,17.95,04/01/2019
"4285F",,"THREE OLIVES CUCUMBER LIME","50 ML",,70,120,0.50,04/01/2019
"4286B",,"THREE OLIVES FRESH WATERMELON","750 ML",,70,12,17.95,04/01/2019
"4286F",,"THREE OLIVES FRESH WATERMELON","50 ML",,70,120,1.50,04/01/2019
"4287H","@","1800 JALAPENO LIME","1.75 L",,20,6,20.95,04/01/2019
"4288H","@","JOSE CUERVO GOLDEN HONEYDEW","1.75 L",,25,6,17.95,04/01/2019
"4289B",,"UNCLE NEAREST PREMIUM WHISKEY","750 ML",,100,6,54.95,04/01/2019
"4290B","@","UNCLE NEAREST SILVER WHISKEY","750 ML",,100,6,38.95,04/01/2019
"4291B",,"BELVEDERE PURE SPRITZ VAP","750 ML",,80,6,15.00,04/01/2019
"4298B","@","VIVACITY SPIRITS BRANDY","750 ML",,85,12,39.00,04/01/2019
"4298F",,"VIVACITY SPIRITS BRANDY","50 ML",,85,96,4.25,04/01/2019
"4300B",,"AVION SILVER W/4 SHOT GLASSES","750 ML",,80,6,17.00,04/01/2019
"4301A",,"ROSE CITY GIN","LITER",,80,12,12.95,04/01/2019
"4304B",,"REDBREAST LUSTAU","750 ML",,92,6,79.95,04/01/2019
"4306B","@","BIRD DOG 10YR BOURBON","750 ML",,90,6,69.95,04/01/2019
"4307B","@","BACARDI BANANA","750 ML",,70,12,12.95,04/01/2019
"4312E","@","RUMCHATA MINICHATA CREAMERS","375 ML",,28,12,9.95,04/01/2019
"4315B",,"MINOR CASE STRAIGHT RYE","750 ML",,90,6,44.95,04/01/2019
"4316B",,"SINFIRE APPLE","750 ML",,70,12,15.95,04/01/2019
"4316F",,"SINFIRE APPLE","50 ML",,70,120,1.50,04/01/2019
"4317B",,"DOUBLE MOUNTAIN HOPPED WHISKEY","750 ML",,82,12,22.95,04/01/2019
"4318B",,"SINFIRE VANILLA","750 ML",,70,12,15.95,04/01/2019
"4318F",,"SINFIRE VANILLA","50 ML",,70,120,1.50,04/01/2019
"4321B",,"JIM BEAM VANILLA","750 ML",,70,12,17.95,04/01/2019
"4323B",,"OLMECA ALTOS ANEJO","750 ML",,80,6,29.95,04/01/2019
"4324B",,"JIM BEAM APPLE W/GLASSES","750 ML",,70,6,17.95,04/01/2019
"4325B",,"BLUE CHAIR BAY KEY LIME CREAM","750 ML",,30,12,19.95,04/01/2019
"4326B",,"ARDBEG KELPIE 6","750 ML",,92,6,60.00,04/01/2019
"4327B",,"POLUGAR NO. 4 HONEY & ALLSPICE","750 ML",,77,12,10.00,04/01/2019
"4328B",,"MIEL DE TIERRA JOVEN","750 ML",,80,6,10.00,04/01/2019
"4329B",,"MIEL DE TIERRA SALMIANA","750 ML",,80,6,88.95,04/01/2019
"4330B",,"CASA D'ARISTI HUANA","750 ML",,70,12,5.00,04/01/2019
"4332B",,"TEELING SINGLE MALT IRISH WHISKEY 24YR","750 ML","24 YRS",92,3,150.00,04/01/2019
"4343E","@","KROGSTAD PLOMME","375 ML",,60,12,24.95,04/01/2019
"4345B",,"BORGHETTI DI VERO ESPRESSO","750 ML",,50,6,19.95,04/01/2019
"4350B",,"LOCK STOCK 7 BARREL 16 YR STRAIGHT RYE WHISKEY","750 ML","16 YRS",107,3,145.90,04/01/2019
"4353B",,"SEAGRAM'S JUICY WATERMELON","750 ML",,70,12,8.95,04/01/2019
"4354B",,"SEAGRAM'S GOLDEN APRICOT","750 ML",,70,12,8.95,04/01/2019
"4355B",,"CIROC SUMMER COLADA","750 ML",,70,12,35.95,04/01/2019
"4355F",,"CIROC SUMMER COLADA","50 ML",,70,60,3.25,04/01/2019
"4356B",,"RHETORIC 23 YR","750 ML",,90,6,119.95,04/01/2019
"4357B",,"THE SINGLETON 18 YR","750 ML",,80,6,79.95,04/01/2019
"4358B",,"THE SINGLETON 15 YR","750 ML",,80,6,49.95,04/01/2019
"4359B",,"SVEDKA BLUE RASPBERRY VODKA","750 ML",,70,12,11.95,04/01/2019
"4376B",,"LA CARAVEDO PURO QUEBRANTA PISCO","750 ML",,80,6,24.95,04/01/2019
"4377B",,"STOLEN WHISKEY 11 YR","750 ML","11 YRS",46,6,39.95,04/01/2019
"4384B",,"JACK DANIEL'S RED DOG SALOON","750 ML",,86,12,5.00,04/01/2019
"4386B","$","REMY MARTIN 1738 W/2 GLASSES","750 ML",,80,6,51.95,04/01/2019
"4388E",,"TWISTED SHOTZ GETAWAY PARTY PACK","375 ML",,40,6,19.95,04/01/2019
"4392B","@","ARIA DISTILLERS RESERVE GIN - BITTERSWEET IMBUE","750 ML",,98,12,36.00,04/01/2019
"4393B","@","ARIA DISTILLERS RESERVE GIN - KEN WRIGHT","750 ML",,82,12,48.00,04/01/2019
"4394B","@","ARIA DISTILLERS RESERVE GIN - PETAL & THORN","750 ML",,82,12,42.00,04/01/2019
"4395B",,"THE SCOTCH MALT WHISKY SOCIETY 121.89","750 ML","16 YRS",108,2,288.80,04/01/2019
"4396B",,"THE SCOTCH MALT WHISKY SOCIETY 28.31","750 ML","9 YRS",120,2,110.00,04/01/2019
"4397B",,"THE SCOTCH MALT WHISKY SOCIETY 29.201","750 ML","17 YRS",118,2,405.70,04/01/2019
"4398B",,"THE SCOTCH MALT WHISKY SOCIETY 3.291","750 ML","20 YRS",113,2,378.70,04/01/2019
"4399B",,"THE SCOTCH MALT WHISKY SOCIETY 36.111","750 ML","18 YRS",115,2,297.80,04/01/2019
"4400B",,"THE SCOTCH MALT WHISKY SOCIETY 4.222","750 ML","16 YRS",112,2,324.80,04/01/2019
"4401B",,"THE SCOTCH MALT WHISKY SOCIETY G6.4","750 ML","35 YRS",96,2,495.60,04/01/2019
"4404B",,"CASA MAGDALENA RUM","750 ML",,83,6,19.95,04/01/2019
"4409E","@","ROD'S WILD BLACKBERRY","375 ML",,60,24,14.25,04/01/2019
"4410B","@","FIRST CITY RUM","750 ML",,90,12,29.95,04/01/2019
"4411B","@","TRILLIUM BARREL RESERVED GIN","750 ML",,90,12,39.95,04/01/2019
"4412B","@","STILLWAGON DEVILS OWN COCONUT RUM","750 ML",,85,12,41.50,04/01/2019
"4413B","@","STILLWAGON DEVILS OWN WALNUT & FIG RUM","750 ML",,85,12,41.50,04/01/2019
"4414B","@","STILLWAGON DEVILS OWN HIBISCUS RUM","750 ML",,85,12,41.50,04/01/2019
"4415B","@","STILLWAGON DEVILS OWN DARK RUM","750 ML",,85,12,41.50,04/01/2019
"4416B","@","STILLWAGON DEVILS OWN CASK STR. GOLD RUM","750 ML",,120,12,47.75,04/01/2019
"4419B","@","SWALLOWTAIL MARIONBERRY VODKA","750 ML",,70,12,26.00,04/01/2019
"4419E","@","SWALLOWTAIL MARIONBERRY VODKA","375 ML",,70,12,14.00,04/01/2019
"4420B","@","SWALLOWTAIL RASPBERRY VODKA","750 ML",,70,12,26.00,04/01/2019
"4420E","@","SWALLOWTAIL RASPBERRY VODKA","375 ML",,70,12,14.00,04/01/2019
"4421E","@","BLOODY KNUCKLES ASTORIA MARY","375 ML",,20,6,19.95,04/01/2019
"4422B","@","HDC SEASONED VODKA","750 ML",,80,12,19.95,04/01/2019
"4427B","@","TWO SEVEN SIX VODKA","750 ML",,80,6,20.95,04/01/2019
"4428A",,"EARLY TIMES BOTTLED IN BOND","LITER",,100,12,21.95,04/01/2019
"4429B",,"HIGHLAND PARK VALKYRIE","750 ML",,92,6,79.95,04/01/2019
"4430B",,"THE MACALLAN EDITION NO. 3","750 ML",,97,12,109.95,04/01/2019
"4431B",,"HIGHLAND PARK MAGNUS","750 ML",,80,6,39.95,04/01/2019
"4433B",,"CAZADORES BLANCO SHAKER PACK","750 ML",,80,6,29.95,04/01/2019
"4434B",,"KRU 82 VODKA IN GLASS BTL","750 ML",,82,12,14.95,04/01/2019
"4434H",,"KRU 82 VODKA IN GLASS BTL","1.75 L",,82,6,19.95,04/01/2019
"4435H",,"FRAPPACHATA ICED COFFEE BLEND","1.75 L",,25,6,21.95,04/01/2019
"4438B",,"OLD CAMP BLENDED WHISKEY","750 ML",,80,12,19.95,04/01/2019
"4439B",,"TIN CUP WHISKEY 10 YRS","750 ML","10 YRS",84,6,54.95,04/01/2019
"4441B",,"KILBEGGAN SINGLE GRAIN","750 ML",,86,6,24.95,04/01/2019
"4442B",,"HIRSCH 8 YR HIGH RYE BOURBON","750 ML",,46,6,10.00,04/01/2019
"4443H",,"CHUM-CHURUM RICH KOREAN SOJU","1.75 L",,40,6,3.00,04/01/2019
"4444B",,"GUNPOWDER IRISH GIN","750 ML",,80,6,37.95,04/01/2019
"4446B","@","LTD ED. STRONGER AMER. LT WSKY","750 ML",,97,6,60.00,04/01/2019
"4447B","$","GOSLING'S DARK'N STORMY VAP","750 ML",,80,6,17.95,04/01/2019
"4448B","$","WILD ROOTS MARIONBERRY VAP","750 ML",,70,6,24.95,04/01/2019
"4449B","$","JC TRAD. SILVER W/2 PALOMA GLS","750 ML",,80,6,18.95,04/01/2019
"4450B","$","SAILOR JERRY SPICED W/2 OIL CAN","750 ML",,92,6,20.95,04/01/2019
"4451B",,"EZRA BROOKS BOURBON CREAM","750 ML",,25,12,2.00,04/01/2019
"4452B","$","BELVEDERE PURE ICE DUO VAP","750 ML",,80,6,31.95,04/01/2019
"4453H","$","GENTLEMAN JACK W/STEEL CUPS","1.75 L",,80,3,56.95,04/01/2019
"4454B","$","RUMCHATA HOLIDAY VAP","750 ML",,28,6,21.95,04/01/2019
"4455B","$","SAMBUCA DI AMORE GIFT SET","750 ML",,84,6,11.95,04/01/2019
"4456E","$","KNOB CREEK 375ML COMBO PACK","375 ML",,100,6,24.95,04/01/2019
"4457B","$","JC TRAD. REPO W/2 PALOMA GLS","750 ML",,80,6,18.95,04/01/2019
"4458B","@","WANDERBACK WHISKEY BATCH NO 1","750 ML","2 YRS",90,6,59.95,04/01/2019
"4460B","@","STOLI CRUSHED RUBY RED GRAPEFRUIT","750 ML",,60,12,19.95,04/01/2019
"4461B","@","STOLI CRUSHED PINEAPPLE","750 ML",,60,12,19.95,04/01/2019
"4462B",,"GLENFIDDICH PROJECT XX","750 ML",,94,6,59.95,04/01/2019
"4467B","@","CRATER LAKE EST. GIN 2017","750 ML",,85,6,49.95,04/01/2019
"4469B",,"HARDY LEGEND 1863","750 ML",,80,6,49.95,04/01/2019
"4470B","@","WESTWARD WHISKEY HIGH PROOF","750 ML","3 YRS",100,6,99.95,04/01/2019
"4473B","$","BUSHMILLS W/ICE BALL MOLDS","750 ML",,80,6,28.95,04/01/2019
"4474B",,"BACARDI MAJOR LAZER","750 ML",,70,12,3.00,04/01/2019
"4477B",,"BULL RUN AMERICAN WHISKEY OREGON PINOT NOIR CASK","750 ML",,100,12,34.95,04/01/2019
"4477E","@","BULL RUN AMERICAN WHISKEY OREGON PINOT NOIR CASK","375 ML",,100,12,16.95,04/01/2019
"4477F",,"BULL RUN AMERICAN WHISKEY OREGON PINOT NOIR CASK","50 ML",,100,90,5.00,04/01/2019
"4479B","@","RESIGNATION RYE WHISKEY","750 ML",,100,12,36.50,04/01/2019
"4480B","@","IMMORTAL SPIRITS SINGLE GRAIN WHISKEY","750 ML",,85,12,47.00,04/01/2019
"4481B",,"STILAR AQUAVIT SKJONNHET","750 ML",,84,12,35.00,04/01/2019
"4486B","@","ROLLING RIVER HOT HABANERO VODKA","750 ML",,80,12,30.00,04/01/2019
"4487B",,"SOTOL COYOTE SAN ANTONIO DURANGO BLANCO","750 ML",,96,12,5.00,04/01/2019
"4489B","@","CRESCENDO VODKA","750 ML",,80,12,23.95,04/01/2019
"4490E",,"OLD RIPY BOURBON","375 ML",,104,12,48.95,04/01/2019
"4523B","@","NEW DEAL CASCARA LIQUEUR","750 ML",,52,12,29.95,04/01/2019
"4523E","@","NEW DEAL CASCARA LIQUEUR","375 ML",,52,12,21.95,04/01/2019
"4524B",,"SOUTHERN COMFORT 80 PROOF","750 ML",,80,12,14.95,04/01/2019
"4526B",,"SENSEI JAPANESE WHISKEY","750 ML",,80,12,39.95,04/01/2019
"4530B","@","VIVACITY SPIRITS MUSCAT BRANDY","750 ML",,80,12,42.00,04/01/2019
"4532B",,"NEW AMSTERDAM LEMON VODKA","750 ML",,70,12,13.95,04/01/2019
"4532H",,"NEW AMSTERDAM LEMON VODKA","1.75 L",,70,6,24.95,04/01/2019
"4533B","@","NEW AMSTERDAM RASPBERRY VODKA","750 ML",,70,12,13.95,04/01/2019
"4533F",,"NEW AMSTERDAM RASPBERRY VODKA","50 ML",,70,120,1.50,04/01/2019
"4534B",,"APPLETON ESTATE - JOY ANNIVERSARY BLEND","750 ML","25 YRS",90,6,247.95,04/01/2019
"4535B","@","MARTELL BLUESWIFT","750 ML",,80,12,49.95,04/01/2019
"4537B",,"BOOMSMA CLAERKAMPSTER CLOOSTERBITTER","750 ML",,80,6,35.05,04/01/2019
"4541B",,"AMRUT SPECTRUM SINGLE MALT WHISKY","750 ML",,100,6,170.90,04/01/2019
